 Event ID : 6944
132.522 65.3461 1064.9 446 1382.4
122.706 65.3461 1064.9 446 400.85
137.431 62.3768 1064.9 446 1412.9
132.522 70.8781 1064.9 446 265.9
147.247 62.3768 1067.39 447 493.95
127.614 56.8448 1067.39 447 985.6
132.522 53.8755 1067.39 447 222.2
142.339 70.8781 1067.39 447 1254.75
147.247 73.8474 1067.39 447 902.75
142.339 65.3461 1067.39 447 1549.75
152.155 70.8781 1067.39 447 1808.45
152.155 65.3461 1067.39 447 549.25
161.972 82.3487 1069.89 448 700.2
161.972 70.8781 1069.89 448 1330.1
157.064 73.8474 1069.89 448 1891.2
157.064 79.3795 1069.89 448 824.55
176.697 73.8474 1072.38 449 442.4
166.88 73.8474 1072.38 449 1475.2
176.697 79.3795 1072.38 449 2671.45
171.788 70.8781 1072.38 449 342.1
171.788 87.8808 1072.38 449 599.7
176.697 90.85 1072.38 449 419.75
171.788 82.3487 1072.38 449 2492.85
166.88 79.3795 1072.38 449 2306.85
186.513 96.3821 1074.88 450 391.5
196.329 96.3821 1074.88 450 392.55
196.329 90.85 1074.88 450 1907.05
186.513 79.3795 1074.88 450 1280.3
201.238 87.8808 1074.88 450 411.95
186.513 90.85 1074.88 450 2731.35
181.605 87.8808 1074.88 450 2529.9
191.421 82.3487 1074.88 450 2261.15
191.421 87.8808 1074.88 450 3728.35
181.605 82.3487 1074.88 450 3212.35
196.329 79.3795 1077.38 451 224.6
-137.431 130.387 1084.86 454 395.2
-137.431 124.855 1084.86 454 351.35
-186.513 -28.3716 1127.3 471 239.8
-191.421 82.3487 1129.79 472 212.45
-186.513 79.3795 1129.79 472 292.8
-24.5412 138.889 1159.74 484 221.9
201.238 133.357 1174.72 490 208.65
-19.6329 -158.861 1197.18 499 269.85
-24.5412 -155.891 1197.18 499 237.2
